game,overall_score,rating,arch_score,maintain_score,test_score,docs_score,robust_score,mbt_files,moonpkg_files,mbti_files,total_lines,non_empty_lines,fn_count,documented_fn_count,doc_fn_ratio,max_file_lines,max_file_path,max_fn_lines,max_fn_name,max_fn_file,long_fn_count_80,long_fn_count_120,if_count,match_count,for_count,while_count,branch_density,clamp_count,test_files,doctest_blocks,has_readme,has_arch,has_triads,old_style_loops,large_file_count,recommendations
2048,69,Fair,19,20,8,11,11,8,4,4,1177,1114,28,26,0.9285714285714286,345,2048/internal/game/logic.mbt,139,"fn @types.Game::try_move(game : @types.Game, dr : Int, dc : Int) -> Bool {",2048/internal/game/logic.mbt,1,1,64,3,44,5,2.392857142857143,7,1,0,True,False,True,0,2,Split long function in `2048/internal/game/logic.mbt` (max ~139 lines)
abyss_signal_runner_2026,55,Fair,16,21,0,11,7,7,4,4,3076,2758,67,67,1.0,1160,abyss_signal_runner_2026/internal/render/render.mbt,141,fn @types.Game::draw_hud(game : @types.Game) -> Unit {,abyss_signal_runner_2026/internal/render/render.mbt,6,3,110,7,67,6,1.7462686567164178,30,0,0,True,False,True,0,3,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `abyss_signal_runner_2026/internal/render/render.mbt` (max ~141 lines) | Break large files (>300 LOC) into feature-focused modules
aftershock_rescue_convoy_2026,42,Needs Attention,2,18,0,11,11,1,1,1,2917,2626,49,46,0.9387755102040817,2917,aftershock_rescue_convoy_2026/main.mbt,1046,fn reset_run() -> Unit {,aftershock_rescue_convoy_2026/main.mbt,4,2,188,0,42,6,3.836734693877551,13,0,0,True,False,False,0,1,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `aftershock_rescue_convoy_2026/main.mbt` (max ~1046 lines)
air_traffic_control_2026,41,Needs Attention,5,18,0,11,7,1,1,1,307,272,4,4,1.0,307,air_traffic_control_2026/main.mbt,251,fn main {,air_traffic_control_2026/main.mbt,1,1,26,0,9,1,6.5,0,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `air_traffic_control_2026/main.mbt` (max ~251 lines)
ancient_temple_trap_run_2026,57,Fair,16,21,0,11,9,7,4,4,2550,2312,52,52,1.0,1013,ancient_temple_trap_run_2026/internal/render/render.mbt,124,fn @types.Game::draw_hud(game : @types.Game) -> Unit {,ancient_temple_trap_run_2026/internal/render/render.mbt,5,1,69,6,36,10,1.4423076923076923,11,0,0,True,False,True,0,3,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `ancient_temple_trap_run_2026/internal/render/render.mbt` (max ~124 lines) | Break large files (>300 LOC) into feature-focused modules
arcade_factory_defense_2026,42,Needs Attention,2,18,0,11,11,1,1,1,2351,2161,23,23,1.0,2351,arcade_factory_defense_2026/main.mbt,1655,fn main {,arcade_factory_defense_2026/main.mbt,2,2,166,0,36,3,7.217391304347826,20,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `arcade_factory_defense_2026/main.mbt` (max ~1655 lines)
arcade_hacker_infiltration_2026,40,Needs Attention,2,16,0,11,11,1,1,1,2154,1962,26,26,1.0,2154,arcade_hacker_infiltration_2026/main.mbt,1578,fn main {,arcade_hacker_infiltration_2026/main.mbt,1,1,210,0,51,3,8.076923076923077,10,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `arcade_hacker_infiltration_2026/main.mbt` (max ~1578 lines)
archery_tournament_2026,37,Needs Attention,5,14,0,11,7,1,1,1,382,346,2,2,1.0,382,archery_tournament_2026/main.mbt,338,fn main {,archery_tournament_2026/main.mbt,1,1,30,0,5,1,15.0,0,0,0,True,False,False,0,1,Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `archery_tournament_2026/main.mbt` (max ~338 lines)
arctic_outpost_survival_2026,55,Fair,16,19,0,11,9,7,4,4,2999,2655,56,56,1.0,1130,arctic_outpost_survival_2026/internal/render/render.mbt,189,fn @types.Game::draw_panel(game : @types.Game) -> Unit {,arctic_outpost_survival_2026/internal/render/render.mbt,8,3,157,16,50,2,3.0892857142857144,11,0,0,True,False,True,0,2,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `arctic_outpost_survival_2026/internal/render/render.mbt` (max ~189 lines)
arctic_signal_relay_2026,57,Fair,16,19,0,11,11,7,4,4,2289,2010,42,42,1.0,956,arctic_signal_relay_2026/internal/render/render.mbt,165,"fn @types.Game::setup_stage(game : @types.Game, stage : Int) -> Unit {",arctic_signal_relay_2026/internal/game/logic.mbt,5,2,79,2,50,8,1.9285714285714286,25,0,0,True,False,True,0,2,Add ARCHITECTURE.md documenting package boundaries and update flow | Add at least one smoke test (README.mbt.md doctest or *_test.mbt) | Split long function in `arctic_signal_relay_2026/internal/game/logic.mbt` (max ~165 lines)
