game,overall_score,rating,tier,wave,lane,primary_risk,sprint1,sprint2,sprint3,acceptance1,acceptance2,acceptance3,acceptance4,fn_count,max_fn_lines,max_fn_file,test_files,doctest_blocks,has_readme,has_arch,doc_fn_ratio
raygui_demo,33,Needs Attention,T0-Critical,Wave-1,Lane-6,No regression safety + very long critical function,Create README.mbt.md + one smoke doctest block,Split longest function (`raygui_demo/main.mbt` ~190 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,1,190,raygui_demo/main.mbt,0,0,False,False,1.000
text_unicode,34,Needs Attention,T0-Critical,Wave-1,Lane-4,No regression safety + very long critical function,Add one smoke doctest block (README.mbt.md) covering init->one update tick,Split longest function (`text_unicode/main.mbt` ~231 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,3,231,text_unicode/main.mbt,0,0,True,False,0.667
ninja_rooftop_chase_2026,36,Needs Attention,T0-Critical,Wave-1,Lane-5,No regression safety + very long critical function,Add one smoke doctest block (README.mbt.md) covering init->one update tick,Split longest function (`ninja_rooftop_chase_2026/main.mbt` ~1217 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,15,1217,ninja_rooftop_chase_2026/main.mbt,0,0,True,False,1.000
shapes_pie_chart,37,Needs Attention,T0-Critical,Wave-1,Lane-3,No regression safety + very long critical function,Add one smoke doctest block (README.mbt.md) covering init->one update tick,Split longest function (`shapes_pie_chart/main.mbt` ~379 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,1,379,shapes_pie_chart/main.mbt,0,0,True,False,1.000
core_automation_events,37,Needs Attention,T0-Critical,Wave-1,Lane-6,No regression safety + very long critical function,Add one smoke doctest block (README.mbt.md) covering init->one update tick,Split longest function (`core_automation_events/main.mbt` ~363 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,1,363,core_automation_events/main.mbt,0,0,True,False,1.000
archery_tournament_2026,37,Needs Attention,T0-Critical,Wave-1,Lane-4,No regression safety + very long critical function,Add one smoke doctest block (README.mbt.md) covering init->one update tick,Split longest function (`archery_tournament_2026/main.mbt` ~338 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,2,338,archery_tournament_2026/main.mbt,0,0,True,False,1.000
core_window_flags,37,Needs Attention,T0-Critical,Wave-1,Lane-5,No regression safety + very long critical function,Add one smoke doctest block (README.mbt.md) covering init->one update tick,Split longest function (`core_window_flags/main.mbt` ~301 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,1,301,core_window_flags/main.mbt,0,0,True,False,1.000
skyforge_mining_convoy_2026,38,Needs Attention,T0-Critical,Wave-1,Lane-2,No regression safety + very long critical function,Add one smoke doctest block (README.mbt.md) covering init->one update tick,Split longest function (`skyforge_mining_convoy_2026/main.mbt` ~1295 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,13,1295,skyforge_mining_convoy_2026/main.mbt,0,0,True,False,1.000
reactor_siege_2026,38,Needs Attention,T0-Critical,Wave-1,Lane-6,No regression safety + very long critical function,Add one smoke doctest block (README.mbt.md) covering init->one update tick,Split longest function (`reactor_siege_2026/main.mbt` ~1250 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,13,1250,reactor_siege_2026/main.mbt,0,0,True,False,1.000
spellforge_arena_2026,38,Needs Attention,T0-Critical,Wave-1,Lane-3,No regression safety + very long critical function,Add one smoke doctest block (README.mbt.md) covering init->one update tick,Split longest function (`spellforge_arena_2026/main.mbt` ~1124 LOC) into focused helpers,Document core public/internal entrypoints with `///` comments,`moon test <game>` executes at least 1 deterministic smoke test,Longest function reduced below 100 LOC without behavior change,Function docs coverage increased for core entrypoints,,13,1124,spellforge_arena_2026/main.mbt,0,0,True,False,1.000
